dialogue id,sentence_id,sentences,função_1,função_2,função_3,to_review,função_CONSENSO,justificativa,CASOS DE DUVIDA
DOC000001,SENT003,"Eu sei que tô lascado , todo dia tem um processo .",inform,agreement,disagreement,2,disagreement,critica,
DOC000001,SENT004,"Eu não quero nem que Moro me absolva , eu só quero que ele peça desculpas , disse Lula durante um seminário sobre educação em Brasília .",inform,inform,inform,,,,
DOC000001,SENT005,"Eles [ investigadores ] chegam a dizer : ' Ah , se o Lula não for candidato , ele não vai ter força como cabo eleitoral ' .",inform,inform,inform,,,,
DOC000001,SENT008,"O ex-presidente disse ainda não ter "" medo "" de os investigadores que , de acordo com ele , estão acostumados a "" mexer com deputados e senadores "" que temem as apurações .",inform,inform,inform,,,,
DOC000001,SENT010,"De acordo com aliados , Lula não gosta de discutir , mesmo que em os bastidores , a chance de não ser candidato a o Planalto e a projeção de o nome de Haddad como plano B de o PT tem incomodado os mais próximos a o ex-presidente .",inform,inform,inform,,,,
DOC000001,SENT011,"O ex-prefeito , que estava em o evento em esta segunda , fez um discurso rápido , de menos de dez minutos , em que encerrou dizendo esperar que Lula assuma a Presidência em 2019 .",inform,inform,inform,,,,
DOC000001,SENT012,""" Espero que dia 1º de janeiro de 2019 esse pesadelo chamado Temer acabe e o senhor assuma a Presidência de a República "" , disse Haddad .",inform,inform,inform,,,,
DOC000001,SENT013,"Lula voltou a fazer um discurso mais agressivo em relação a o mercado e disse que "" não tem cara de demônio "" , mas quer que o respeitem "" como se fosse "" .",inform,inform,inform,,,,
DOC000001,SENT016,"Folha publicou em esta segunda ( 9 ) reportagem em que mostrou que o deputado ensaia movimento a o centro em o debate econômico , adotando um discurso simpático a os investidores de o mercado financeiro .",inform,inform,inform,,,,
DOC000001,SENT017,"Lula diz que está ' lascado ' , mas que ainda tem força como cabo eleitoral .",inform,inform,inform,,,,
DOC000005,SENT004,"A primeira parceria é com a Bom Pra Crédito , marketplace em o qual cerca de 500 mil interessados em tomar empréstimo pessoal submetem todo mês pedidos que são distribuídos para cerca de 25 bancos oferecerem propostas .",inform,inform,inform,,,,
DOC000005,SENT005,"Além de esse acordo , já em andamento , negociações estão em curso com outras quatro fintechs especializadas em crédito : Guia Bolso , Lendico , Finanzero e Wecash , previstas para estarem operacionais ainda em 2017 .",inform,inform,inform,,,,
DOC000005,SENT006,"O movimento marca a primeira aproximação operacional , mesmo que de forma indireta , de grandes bancos com fintechs , que em os últimos dois anos emergiram como potenciais rivais em o crédito pessoal , a o oferecerem taxas de juros muito menores de o que as praticadas em o sistema financeiro .",inform,inform,inform,,,,
DOC000005,SENT007,"Segundo o presidente de a Bom Pra Crédito , Ricardo Kalichsztein , ser parceiro é melhor .",inform,inform,inform,,,,
DOC000005,SENT008,"CBSS , em o caso , oferecerá empréstimos pessoais sem garantia com taxas a partir de 3,9 % a o mês .",inform,inform,inform,,,,
DOC000005,SENT009,"A taxa média de o sistema financeiro foi de 7,2 % a o mês , segundo dados de o Banco Central referentes a agosto .",inform,inform,inform,,,,
DOC000005,SENT010,A iniciativa acontece em meio a uma audiência pública aberta por o Banco Central para regulamentar a atuação de as plataformas digitais de crédito .,inform,inform,inform,,,,
DOC000005,SENT011,"A proposta de o BC é classificar essas fintechs em duas categorias , a que empresta com capital de os próprios acionistas e a que conecta investidores a tomadores de recursos , prática conhecida como peer to peer lending .",inform,inform,inform,,,,
DOC000005,SENT013,""" As fintechs começarão a se perguntar se vale a pena virar banco "" , disse Rubens Vidigal Neto , sócio de o PVG Advogados .",inform,inform,inform,,,,
DOC000005,SENT014,"Atento a esse movimento , o CBSS já visualiza aprofundar a aproximação com as fintechs .",inform,inform,inform,,,,
DOC000005,SENT015,"Em um primeiro momento , as conversas envolvem proposta de remuneração mais atrativa , em a qual o banco pode repassar a as parceiras mais de o que apenas um valor por a originação de negócios .",inform,inform,inform,,,,
DOC000005,SENT016,Mas com por o menos uma de elas as conversas já evoluíram para participação societária .,inform,inform,inform,,,,
DOC000005,SENT017,""" Estamos em negociações finais para sermos sócios de uma de elas ( fintech ) "" , disse Giovane , sem dar mais detalhes .",inform,inform,inform,,,,
DOC000005,SENT018,"A entrada de o CBSS em o crédito digital é motivada , de entre outros fatores , por o interesse de os sócios em acelerar a rentabilização de o negócio , disse o executivo .",inform,inform,inform,,,,
DOC000005,SENT020,"Essa plataforma começa a operar ainda este mês um marketplace , inclusive com produtos como os de a Apple Store .",inform,inform,inform,,,,
DOC000005,SENT021,"A partir de novembro , a Digio incluirá oferta de crédito pessoal .",inform,inform,inform,,,,
DOC000005,SENT022,Todas essas frentes consumiram investimentos que levam mais tempo para dar retorno .,inform,inform,inform,,,,
DOC000005,SENT023,"O banco , que tinha patrimônio de R$ 410 milhões em junho , já opera em o azul desde o mês passado , mas o plano é começar a ter lucro .",inform,inform,inform,,,,
DOC000005,SENT024,""" As parcerias com as fintechs em o crédito são um negócio que permite retorno quase imediato "" , disse Giovane .",inform,inform,inform,,,,
DOC000005,SENT025,CBSS inicia acordos com fintechs e quer 30% de o crédito digital em 2018 .,inform,inform,inform,,,,
DOC000006,SENT003,O sumiço de Maldonado se transformou em um de os temas de a campanha para as eleições legislativas que ocorrem em o próximo dia 22 .,inform,inform,inform,,,,
DOC000006,SENT004,"Marchas e protestos vêm ocorrendo em várias cidades desde então , e há cartazes pedindo o "" reaparecimento com vida "" de o ativista .",inform,inform,inform,,,,
DOC000006,SENT005,"Maldonado havia se juntado a um protesto de indígenas mapuche que reivindicam um território em a Província de Chubut , em o sul de o país , hoje sob posse de a companhia italiana Benetton .",inform,inform,inform,,,,
DOC000006,SENT006,"Em a ocasião , houve enfrentamento de a Gendarmeria ( polícia de fronteiras argentina ) com os manifestantes , e testemunhas alegam que Maldonado foi levado por os agentes .",inform,inform,inform,,,,
DOC000006,SENT008,"A ex-presidente Cristina Kirchner , candidata a o Senado por a oposição , tem usado a imagem de Maldonado em campanha , dizendo ser o "" primeiro desaparecido político de o governo Macri "" .",inform,inform,inform,,,,
DOC000006,SENT009,"Apesar de a pergunta , Bono e Macri se trataram de forma cordial .",inform,inform,inform,,,,
DOC000006,SENT010,"Após o encontro , o cantor disse que havia "" sentido que o presidente está comprometido em a missão de encontrar Maldonado "" .",inform,inform,inform,,,,
DOC000006,SENT011,"E acrescentou que vinha a o país "" reforçar o pedido para que o caso seja esclarecido , em nome de a Anistia Internacional "" .",inform,inform,inform,,,,
DOC000006,SENT012,"Além de isso , Bono afirmou que ambos trataram de alguns temas de a pauta de a próxima reunião de o G-20 , que ocorrerá em a Argentina em o ano que vem .",inform,inform,inform,,,,
DOC000006,SENT013,O país assume em dezembro a presidência rotativa de o grupo que congrega as 20 maiores economias .,inform,inform,inform,,,,
DOC000006,SENT014,As pessoas pensam que esses eventos são apenas encontros com jantares luxuosos .,inform,inform,inform,,,,
DOC000006,SENT016,"Em encontro , Bono pergunta a Macri sobre argentino desaparecido .",inform,inform,inform,,,,
DOC000007,SENT001,O italiano Cesare Battisti disse em esta segunda-feira ( 9 ) que tem liberdade para sair de o Brasil quando quiser .,inform,inform,inform,,,,
DOC000007,SENT003,"Eu sou um imigrante , com visto permanente em o país .",inform,inform,inform,,,,
DOC000007,SENT004,Eu posso sair de esse país quando e como quero .,inform,inform,inform,,,,
DOC000007,SENT005,"Não tenho nenhuma restrição , afirmou ele em entrevista a a TV Tribuna , afiliada de a TV Globo .",inform,inform,inform,,,,
