,precision,recall,f1-score,support,model_name,dataset,use_pos,use_context,use_trans,use_weights,batch_size,epoch,lr_rate,resample_perc,n_classes,fold,timestamp_now
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-24 22:48:40
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-24 22:48:40
inform,0.9966555183946488,0.2584562012142237,0.4104683195592286,1153.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-24 22:48:40
instruct,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-24 22:48:40
other,0.0,0.0,0.0,6.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-24 22:48:40
question,0.0224719101123595,1.0,0.0439560439560439,20.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-24 22:48:40
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-24 22:48:40
accuracy,0.2674516400336417,0.2674516400336417,0.2674516400336417,0.2674516400336417,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-24 22:48:40
macro avg,0.1455896326438583,0.1797794573163176,0.0649177662164675,1189.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-24 22:48:40
weighted avg,0.9668572337353046,0.2674516400336417,0.3987797252572847,1189.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-24 22:48:40
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-24 22:53:42
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-24 22:53:42
inform,0.9956331877729258,0.3954900260190807,0.5661080074487895,1153.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-24 22:53:42
instruct,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-24 22:53:42
other,0.1111111111111111,0.1666666666666666,0.1333333333333333,6.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-24 22:53:42
question,0.0277008310249307,1.0,0.0539083557951482,20.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-24 22:53:42
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-24 22:53:42
