dialogue_id,sentence_id,sentences,tipo dimensão multi,Dimensão multi,função multi,revisado,tipo dimensão,Dimensão,função,Unnamed: 10,possivel tag,dialogue_id.1,tokens,pos
DOC000001,SENT003,"Eu sei que tô lascado , todo dia tem um processo .",General-purpose function,Information-providing functions,inform,sim,General-purpose function,Information-providing functions,disagreement,,,DOC000001,"['Eu', 'sei', 'que', 'tô', 'lascado', ',', 'todo', 'dia', 'tem', 'um', 'processo', '.']","['PRON', 'VERB', 'SCONJ', 'AUX', 'ADJ', 'PUNCT', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'PUNCT']"
DOC000001,SENT004,"Eu não quero nem que Moro me absolva , eu só quero que ele peça desculpas , disse Lula durante um seminário sobre educação em Brasília .",General-purpose function,Information-providing functions,inform,sim,General-purpose function,Information-providing functions,inform,,,DOC000001,"['Eu', 'não', 'quero', 'nem', 'que', 'Moro', 'me', 'absolva', ',', 'eu', 'só', 'quero', 'que', 'ele', 'peça', 'desculpas', ',', 'disse', 'Lula', 'durante', 'um', 'seminário', 'sobre', 'educação', 'em', 'Brasília', '.']","['PRON', 'ADV', 'VERB', 'ADV', 'SCONJ', 'PROPN', 'PRON', 'VERB', 'PUNCT', 'PRON', 'ADV', 'VERB', 'SCONJ', 'PRON', 'VERB', 'NOUN', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PUNCT']"
DOC000001,SENT005,"Eles [ investigadores ] chegam a dizer : ' Ah , se o Lula não for candidato , ele não vai ter força como cabo eleitoral ' .",General-purpose function,Information-providing functions,inform,sim,General-purpose function,Information-providing functions,inform,,,DOC000001,"['Eles', '[', 'investigadores', ']', 'chegam', 'a', 'dizer', ':', ""'"", 'Ah', ',', 'se', 'o', 'Lula', 'não', 'for', 'candidato', ',', 'ele', 'não', 'vai', 'ter', 'força', 'como', 'cabo', 'eleitoral', ""'"", '.']","['PRON', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'VERB', 'PUNCT', 'PUNCT', 'INTJ', 'PUNCT', 'SCONJ', 'DET', 'PROPN', 'ADV', 'AUX', 'NOUN', 'PUNCT', 'PRON', 'ADV', 'AUX', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'PUNCT']"
DOC000001,SENT008,"O ex-presidente disse ainda não ter "" medo "" de os investigadores que , de acordo com ele , estão acostumados a "" mexer com deputados e senadores "" que temem as apurações .",General-purpose function,Information-providing functions,inform,sim,General-purpose function,Information-providing functions,inform,,,DOC000001,"['O', 'ex-presidente', 'disse', 'ainda', 'não', 'ter', '""', 'medo', '""', 'de', 'os', 'investigadores', 'que', ',', 'de', 'acordo', 'com', 'ele', ',', 'estão', 'acostumados', 'a', '""', 'mexer', 'com', 'deputados', 'e', 'senadores', '""', 'que', 'temem', 'as', 'apurações', '.']","['DET', 'NOUN', 'VERB', 'ADV', 'ADV', 'VERB', 'PUNCT', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PRON', 'PUNCT', 'ADP', 'NOUN', 'ADP', 'PRON', 'PUNCT', 'AUX', 'ADJ', 'ADP', 'PUNCT', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'DET', 'NOUN', 'PUNCT']"
DOC000001,SENT010,"De acordo com aliados , Lula não gosta de discutir , mesmo que em os bastidores , a chance de não ser candidato a o Planalto e a projeção de o nome de Haddad como plano B de o PT tem incomodado os mais próximos a o ex-presidente .",General-purpose function,Information-providing functions,inform,sim,General-purpose function,Information-providing functions,inform,,,DOC000001,"['De', 'acordo', 'com', 'aliados', ',', 'Lula', 'não', 'gosta', 'de', 'discutir', ',', 'mesmo', 'que', 'em', 'os', 'bastidores', ',', 'a', 'chance', 'de', 'não', 'ser', 'candidato', 'a', 'o', 'Planalto', 'e', 'a', 'projeção', 'de', 'o', 'nome', 'de', 'Haddad', 'como', 'plano', 'B', 'de', 'o', 'PT', 'tem', 'incomodado', 'os', 'mais', 'próximos', 'a', 'o', 'ex-presidente', '.']","['ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'ADV', 'VERB', 'ADP', 'VERB', 'PUNCT', 'ADV', 'SCONJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'ADV', 'AUX', 'NOUN', 'ADP', 'DET', 'PROPN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'PROPN', 'ADP', 'DET', 'PROPN', 'AUX', 'VERB', 'PRON', 'ADV', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']"
DOC000001,SENT011,"O ex-prefeito , que estava em o evento em esta segunda , fez um discurso rápido , de menos de dez minutos , em que encerrou dizendo esperar que Lula assuma a Presidência em 2019 .",General-purpose function,Information-providing functions,inform,sim,General-purpose function,Information-providing functions,inform,,,DOC000001,"['O', 'ex-prefeito', ',', 'que', 'estava', 'em', 'o', 'evento', 'em', 'esta', 'segunda', ',', 'fez', 'um', 'discurso', 'rápido', ',', 'de', 'menos', 'de', 'dez', 'minutos', ',', 'em', 'que', 'encerrou', 'dizendo', 'esperar', 'que', 'Lula', 'assuma', 'a', 'Presidência', 'em', '2019', '.']","['DET', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'ADP', 'ADV', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'ADP', 'PRON', 'VERB', 'VERB', 'VERB', 'SCONJ', 'PROPN', 'VERB', 'DET', 'PROPN', 'ADP', 'NUM', 'PUNCT']"
DOC000001,SENT012,""" Espero que dia 1º de janeiro de 2019 esse pesadelo chamado Temer acabe e o senhor assuma a Presidência de a República "" , disse Haddad .",General-purpose function,Information-providing functions,inform,sim,General-purpose function,Information-providing functions,inform,,,DOC000001,"['""', 'Espero', 'que', 'dia', '1º', 'de', 'janeiro', 'de', '2019', 'esse', 'pesadelo', 'chamado', 'Temer', 'acabe', 'e', 'o', 'senhor', 'assuma', 'a', 'Presidência', 'de', 'a', 'República', '""', ',', 'disse', 'Haddad', '.']","['PUNCT', 'VERB', 'SCONJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NUM', 'DET', 'NOUN', 'VERB', 'PROPN', 'VERB', 'CCONJ', 'DET', 'NOUN', 'VERB', 'DET', 'PROPN', 'ADP', 'DET', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'PROPN', 'PUNCT']"
DOC000001,SENT013,"Lula voltou a fazer um discurso mais agressivo em relação a o mercado e disse que "" não tem cara de demônio "" , mas quer que o respeitem "" como se fosse "" .",General-purpose function,Information-providing functions,inform,sim,General-purpose function,Information-providing functions,inform,,,DOC000001,"['Lula', 'voltou', 'a', 'fazer', 'um', 'discurso', 'mais', 'agressivo', 'em', 'relação', 'a', 'o', 'mercado', 'e', 'disse', 'que', '""', 'não', 'tem', 'cara', 'de', 'demônio', '""', ',', 'mas', 'quer', 'que', 'o', 'respeitem', '""', 'como', 'se', 'fosse', '""', '.']","['PROPN', 'VERB', 'ADP', 'VERB', 'DET', 'NOUN', 'ADV', 'ADJ', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'VERB', 'SCONJ', 'PUNCT', 'ADV', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'PUNCT', 'CCONJ', 'VERB', 'SCONJ', 'PRON', 'VERB', 'PUNCT', 'SCONJ', 'SCONJ', 'AUX', 'PUNCT', 'PUNCT']"
DOC000001,SENT016,"Folha publicou em esta segunda ( 9 ) reportagem em que mostrou que o deputado ensaia movimento a o centro em o debate econômico , adotando um discurso simpático a os investidores de o mercado financeiro .",General-purpose function,Information-providing functions,inform,sim,General-purpose function,Information-providing functions,inform,,,DOC000001,"['Folha', 'publicou', 'em', 'esta', 'segunda', '(', '9', ')', 'reportagem', 'em', 'que', 'mostrou', 'que', 'o', 'deputado', 'ensaia', 'movimento', 'a', 'o', 'centro', 'em', 'o', 'debate', 'econômico', ',', 'adotando', 'um', 'discurso', 'simpático', 'a', 'os', 'investidores', 'de', 'o', 'mercado', 'financeiro', '.']","['PROPN', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'ADP', 'PRON', 'VERB', 'SCONJ', 'DET', 'NOUN', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']"
DOC000001,SENT017,"Lula diz que está ' lascado ' , mas que ainda tem força como cabo eleitoral .",General-purpose function,Information-providing functions,inform,sim,General-purpose function,Information-providing functions,inform,,,DOC000001,"['Lula', 'diz', 'que', 'está', ""'"", 'lascado', ""'"", ',', 'mas', 'que', 'ainda', 'tem', 'força', 'como', 'cabo', 'eleitoral', '.']","['PROPN', 'VERB', 'SCONJ', 'AUX', 'PUNCT', 'ADJ', 'PUNCT', 'PUNCT', 'CCONJ', 'SCONJ', 'ADV', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']"
